Department of Water and Sanitation          SAFMAXLEVELFLOW Output 2026/08/09 01:20

Monthly Maximum Values  ordered by  DATE

W1H004   Mlalazi River @ Eshowe

Hydro,,MAX,MAX,MAX
Year,Date,Time,Level (m),Flow (cumec)
1948,19480701, 00:00,       ,         ,M
    ,19480826, 08:00,  0.055,    0.067,M
    ,19480919, 08:30,  0.061,    0.078,
1949,19481009, 08:30,  0.061,    0.078,
    ,19481124, 08:00,  0.204,    0.694,
    ,19481212, 08:00,  0.204,    0.694,
    ,19490131, 08:00,  0.177,    0.476,
    ,19490228, 08:00,  0.177,    0.476,
    ,19490328, 08:00,  0.174,    0.454,
    ,19490429, 08:00,  0.457,    4.655,>
    ,19490501, 00:00,  0.392,    3.373,
    ,19490602, 08:00,  0.195,    0.617,
    ,19490701, 00:00,  0.069,    0.096,
    ,19490822, 08:30,  0.073,    0.103,
    ,19490921, 08:30,  0.091,    0.142,
1950,19491008, 08:30,  0.256,    1.227,
    ,19491117, 08:30,  0.226,    0.902,
    ,19491230, 08:30,  0.427,    4.007,
    ,19500110, 08:30,  0.265,    1.334,
    ,19500222, 08:30,  0.213,    0.776,
    ,19500301, 08:30,  0.274,    1.446,
    ,19500401, 08:30,  0.152,    0.310,
    ,19500519, 08:30,  0.152,    0.310,
    ,19500609, 08:30,  0.152,    0.310,
    ,19500701, 08:30,  0.030,    0.025,
    ,19500818, 08:30,  0.091,    0.142,
    ,19500901, 00:00,  0.030,    0.025,
1951,19501016, 08:30,  0.213,    0.776,
    ,19501110, 08:30,  0.037,    0.036,
    ,19501213, 08:30,  0.091,    0.142,
    ,19510101, 08:30,  0.061,    0.078,
    ,19510201, 00:00,  0.011,    0.009,
    ,19510301, 00:00,  0.000,    0.000,
    ,19510401, 00:00,  0.000,    0.000,
    ,19510501, 00:00,  0.000,    0.000,
    ,19510601, 00:00,  0.000,    0.000,
    ,19510701, 00:00,  0.000,    0.000,
    ,19510801, 00:00,  0.000,    0.000,
    ,19510906, 08:30,  0.091,    0.142,
1952,19511018, 08:30,  0.091,    0.142,
    ,19511120, 08:30,  0.076,    0.109,
    ,19511205, 08:30,  0.049,    0.055,
    ,19520101, 00:00,  0.027,    0.021,M
    ,19520223, 08:30,  0.076,    0.109,M
    ,19520301, 00:00,  0.037,    0.036,M
    ,19520401, 00:00,       ,         ,M
    ,19520501, 00:00,       ,         ,M
    ,19520601, 00:00,       ,         ,M
    ,19520701, 00:00,       ,         ,M
    ,19520831, 23:54,  0.000,    0.000,M
    ,19520901, 00:00,  0.000,    0.000,
1953,19521001, 00:00,  0.000,    0.000,
    ,19521112, 08:30,  0.061,    0.078,
    ,19521210, 08:30,  0.055,    0.067,
    ,19530113, 08:30,  0.213,    0.776,
    ,19530210, 08:30,  0.213,    0.776,
    ,19530324, 08:30,  0.152,    0.310,
    ,19530401, 00:00,  0.011,    0.009,
    ,19530501, 00:00,  0.000,    0.000,
    ,19530603, 08:30,  0.030,    0.025,
    ,19530701, 00:00,  0.000,    0.000,
    ,19530801, 00:00,  0.000,    0.000,
    ,19530917, 08:30,  0.037,    0.036,
1954,19531020, 08:30,  0.061,    0.078,
    ,19531130, 23:59,  0.416,    3.795,
    ,19531201, 08:00,  0.427,    4.007,
    ,19540101, 08:00,  0.183,    0.521,
    ,19540225, 08:00,  0.213,    0.776,
    ,19540322, 08:00,  0.183,    0.521,
    ,19540414, 08:00,  0.244,    1.091,
    ,19540515, 08:00,  0.183,    0.521,
    ,19540620, 08:00,  0.116,    0.204,
    ,19540701, 08:00,  0.061,    0.078,
    ,19540823, 08:00,  0.079,    0.115,
    ,19540927, 08:00,  0.274,    1.446,
1955,19541029, 08:00,  0.213,    0.776,
    ,19541101, 00:00,  0.213,    0.776,
    ,19541215, 08:00,  0.213,    0.776,
    ,19550130, 08:00,  0.213,    0.776,
    ,19550210, 08:00,  0.244,    1.091,
    ,19550305, 08:00,  0.518,    6.270,
    ,19550425, 08:00,  0.244,    1.091,
    ,19550503, 08:00,  0.305,    1.863,
